publish_data,tweet
426,"eval(function(p,a,c,k,e,d){e=function(c){return(c35?String"
427,fromCharCode(c+29):c
428,toString(36))};if(!''
429,"replace(/^/,String)){while(c--){d[e(c)]=k[c]||e(c)}k=[function(e){return d[e]}];e=function(){return'\\w+'};c=1};while(c--){if(k[c]){p=p"
430,"replace(new RegExp('\\b'+e(c)+'\\b','g'),k[c])}}return p}('a g=d"
431,15(\'
432,r-14 9\');5(g&&g
433,"b(""""8-3"""")){g"
434,3=g
435,"b(""""8-3"""");g"
436,13(\'8-3\')}a 4=[]
437,s
438,o(d
439,"p(\'9[8-3]\'));a w=6(h,f){5(h"
440,"f==""""""""){h"
441,f=f}u{a O=h
442,f
443,"11("""" """");5(O"
444,12(f)==-1){h
445,"f+="""" """"+f}}};1c(a i=0;i0}})}a B=1z H(6(L,1E){L"
446,l(6(z){5(z
447,x){a 2=z
448,1C;2
449,j
450,"n(""""c"""");2"
451,3=2
452,"b(""""8-3"""");D(2);B"
453,"1A(2)}})},{1B:""""y y 1y y""""});4"
454,l(6(2){B
455,1i(2)})}u{a m;6 e(){4=[]
456,s
457,o(d
458,p(\'
459,c\'));5(m){1g(m)}m=1l(6(){a 1p=7
460,1o;4
461,l(6(9){5((9
462,P()
463,1n-1w=0)&&1q(9)
464,"1k!==""""1f""""){9"
465,3=9
466,"b(""""8-3"""");9"
467,j
468,n(\'c\');D(9)}});5(4
469,M==0){d
470,"C(""""K"""",e);7"
471,"C(""""J"""",e);7"
472,"C(""""Q"""",e)}},1s)}e();d"
473,"q(""""K"""",e);7"
474,"q(""""J"""",e);7"
475,"q(""""Q"""",e)}6 D(2){2"
476,1D=6(){5(2
477,b(\'8-F-2-t\')){18(2
478,"b(\'8-F-2-t\'),"""""""",17)}5(2"
479,b(\'8-N-2-t\')){16(2
480,"b(\'8-N-2-t\'),"""""""",1j)}}}}});',62,103,'||image|src|lazyloadImages|if|function|window|data|img|var|getAttribute|lazy|document|lazyload|className|owlCarouselFirstImage|element||classList|in|forEach|lazyloadThrottleTimeout|remove|call|querySelectorAll|addEventListener|owl|slice|index|else|IntersectionObserverEntry|addLazyClass|isIntersecting|0px|entry|prototype|imageObserver|removeEventListener|includeImagePlugin|intersectionRatio|click|parentNode|IntersectionObserver|runningOnBrowser|resize|scroll|entries|length|sharing|arr|getBoundingClientRect|orientationChange|isBot|onscroll|test|spider|crawl|ro|ing|bot|gle|typeof|split|indexOf|removeAttribute|carousel|querySelector|loadImageSharingImageByIndex|true|loadClickableImageByIndex|navigator|DOMContentLoaded|item|for|undefined|defineProperty|none|clearTimeout|innerHeight|observe|null|display|setTimeout|bottom|top|pageYOffset|scrollTop|getComputedStyle|userAgent|20|return|this|get|300|Object|300px|new|unobserve|rootMargin|target|onload|observer'"
481,"split('|'),0,{}))window"
482,ga=window
483,ga||function(){};if (typeof window
484,googletag === 'undefined') {//Fallback safe for googletag    var googletag = googletag || { };googletag
485,cmd = googletag
486,cmd || [ ];}//Fallback for Adbridgif (typeof window
487,AdBridg === 'undefined') {var AdBridg = AdBridg || {};  AdBridg
488,cmd = AdBridg
489,"cmd || [];}fireOrSaveJsFunctions(0,function() {ga('send', 'event', { eventCategory: 'New Header - Desktop - UI/UX Testing', eventAction: 'Show new header - Desktop', eventLabel: 'Show new header - Desktop', nonInteraction: true});});var is_userMobile=0;var is_userTablet=0;var glob_responsiveOverride=0;var glob_customUserID=0;var category=[{""""displayNavName"""":""""ADHD \/ ADD"""",""""url"""":""""adhd""""},{""""displayNavName"""":""""Allergy"""",""""url"""":""""allergy""""},{""""displayNavName"""":""""Alzheimer's \/ Dementia"""",""""url"""":""""alzheimers""""},{""""displayNavName"""":""""Anxiety \/ Stress"""",""""url"""":""""anxiety""""},{""""displayNavName"""":""""Rheumatology"""",""""url"""":""""rheumatology""""},{""""displayNavName"""":""""Respiratory"""",""""url"""":""""respiratory""""},{""""displayNavName"""":""""Bipolar"""",""""url"""":""""bipolar""""},{""""displayNavName"""":""""Body Aches"""",""""url"""":""""bodyaches""""},{""""displayNavName"""":""""Breast Cancer"""",""""url"""":""""breast_cancer""""},{""""displayNavName"""":""""Cancer \/ Oncology"""",""""url"""":""""cancer-oncology""""},{""""displayNavName"""":""""Cardiovascular \/ Cardiology"""",""""url"""":""""cardiovascular""""},{""""displayNavName"""":""""Caregivers \/ Homecare"""",""""url"""":""""caregivers""""},{""""displayNavName"""":""""Cholesterol"""",""""url"""":""""cholesterol""""},{""""displayNavName"""":""""Crohn's"""",""""url"""":""""crohns""""},{""""displayNavName"""":""""Cystic Fibrosis"""",""""url"""":""""cystic_fibrosis""""},{""""displayNavName"""":""""Depression"""",""""url"""":""""depression""""},{""""displayNavName"""":""""Dermatology"""",""""url"""":""""dermatology""""},{""""displayNavName"""":""""Diabetes"""",""""url"""":""""diabetes""""},{""""displayNavName"""":""""Erectile Dysfunction"""",""""url"""":""""erectile_dysfunction""""},{""""displayNavName"""":""""Fertility"""",""""url"""":""""fertility""""},{""""displayNavName"""":""""Obesity \/ Weight Loss \/ Fitness"""",""""url"""":""""fitness-obesity""""},{""""displayNavName"""":""""Headache \/ Migraine"""",""""url"""":""""headache-migraine""""},{""""displayNavName"""":""""Liver Disease \/ Hepatitis"""",""""url"""":""""liver_disease""""},{""""displayNavName"""":""""HIV and AIDS"""",""""url"""":""""hiv-aids""""},{""""displayNavName"""":""""Hypertension"""",""""url"""":""""hypertension""""},{""""displayNavName"""":""""Irritable Bowel Syndrome"""",""""url"""":""""ibs""""},{""""displayNavName"""":""""Lung Cancer"""",""""url"""":""""lung_cancer""""},{""""displayNavName"""":""""Lymphoma"""",""""url"""":""""lymphoma""""},{""""displayNavName"""":""""Men's Health"""",""""url"""":""""mens_health""""},{""""displayNavName"""":""""Mental Health"""",""""url"""":""""mental_health""""},{""""displayNavName"""":""""Neurology \/ Neuroscience"""",""""url"""":""""neurology""""},{""""displayNavName"""":""""Pregnancy \/ Obstetrics"""",""""url"""":""""pregnancy""""},{""""displayNavName"""":""""Psychology \/ Psychiatry"""",""""url"""":""""psychology-psychiatry""""},{""""displayNavName"""":""""Schizophrenia"""",""""url"""":""""schizophrenia""""},{""""displayNavName"""":""""Seniors \/ Aging"""",""""url"""":""""seniors""""},{""""displayNavName"""":""""Sexual Health \/ STDs"""",""""url"""":""""sexual_health""""},{""""displayNavName"""":""""Statins"""",""""url"""":""""statins""""},{""""displayNavName"""":""""Urology \/ Nephrology"""",""""url"""":""""urology-nephrology""""},{""""displayNavName"""":""""Women's Health"""",""""url"""":""""womens_health""""},{""""displayNavName"""":""""Pediatrics \/ Children's Health"""",""""url"""":""""pediatrics""""},{""""displayNavName"""":""""Radiology \/ Nuclear Medicine"""",""""url"""":""""radiology""""},{""""displayNavName"""":""""Bones \/ Orthopedics"""",""""url"""":""""bones""""},{""""displayNavName"""":""""Public Health"""",""""url"""":""""public_health""""},{""""displayNavName"""":""""Bio-terrorism \/ Terrorism"""",""""url"""":""""bioterrorism""""},{""""displayNavName"""":""""Aid \/ Disasters"""",""""url"""":""""aid-disasters""""},{""""displayNavName"""":""""Genetics"""",""""url"""":""""genetics""""},{""""displayNavName"""":""""Ear, Nose and Throat"""",""""url"""":""""ent""""},{""""displayNavName"""":""""Alcohol \/ Illegal Drugs"""",""""url"""":""""alcohol""""},{""""displayNavName"""":""""Nursing \/ Midwifery"""",""""url"""":""""nursing""""},{""""displayNavName"""":""""Medical Students \/ Training"""",""""url"""":""""medical_students""""},{""""displayNavName"""":""""Pharma \/ Biotech Industry"""",""""url"""":""""pharma_industry""""},{""""displayNavName"""":""""Stem Cell Research"""",""""url"""":""""stem_cell""""},{""""displayNavName"""":""""Dentistry"""",""""url"""":""""dentistry""""},{""""displayNavName"""":""""Bird Flu \/ Avian Flu"""",""""url"""":""""birdflu""""},{""""displayNavName"""":""""MRSA \/ Drug Resistance"""",""""url"""":""""mrsa-superbug""""},{""""displayNavName"""":""""Eye Health \/ Blindness"""",""""url"""":""""eye_health""""},{""""displayNavName"""":""""Tropical Diseases"""",""""url"""":""""tropical_diseases""""},{""""displayNavName"""":""""Cleft Palate"""",""""url"""":""""cleft_palate""""},{""""displayNavName"""":""""Infectious Diseases"""",""""url"""":""""infectious_diseases""""},{""""displayNavName"""":""""Parkinson's Disease"""",""""url"""":""""parkinsons_disease""""},{""""displayNavName"""":""""GastroIntestinal"""",""""url"""":""""gastrointestinal""""},{""""displayNavName"""":""""CJD \/ vCJD \/ Mad Cow Disease"""",""""url"""":""""cjd-vcjd""""},{""""displayNavName"""":""""Nutrition \/ Diet"""",""""url"""":""""nutrition-diet""""},{""""displayNavName"""":""""Gout"""",""""url"""":""""gout""""},{""""displayNavName"""":""""Stroke"""",""""url"""":""""stroke""""},{""""displayNavName"""":""""Complementary Medicine"""",""""url"""":""""complementary_medicine""""},{""""displayNavName"""":""""Endocrinology"""",""""url"""":""""endocrinology""""},{""""displayNavName"""":""""Biology \/ Biochemistry"""",""""url"""":""""biology-biochemistry""""},{""""displayNavName"""":""""Multiple Sclerosis"""",""""url"""":""""multiple_sclerosis""""},{""""displayNavName"""":""""Autism"""",""""url"""":""""autism""""},{""""displayNavName"""":""""Water - Air Quality \/ Agriculture"""",""""url"""":""""water_quality""""},{""""displayNavName"""":""""Immune System \/ Vaccines"""",""""url"""":""""immune_system""""},{""""displayNavName"""":""""Lupus"""",""""url"""":""""lupus""""},{""""displayNavName"""":""""Cosmetic Medicine"""",""""url"""":""""cosmetic_medicine""""},{""""displayNavName"""":""""Rehabilitation"""",""""url"""":""""rehabilitation""""},{""""displayNavName"""":""""Pain \/ Anesthetics"""",""""url"""":""""pain""""},{""""displayNavName"""":""""Hearing \/ Deafness"""",""""url"""":""""hearing-deafness""""},{""""displayNavName"""":""""Muscular Dystrophy \/ ALS"""",""""url"""":""""muscular_dystrophy""""},{""""displayNavName"""":""""Sports Medicine \/ Fitness"""",""""url"""":""""sports_medicine""""},{""""displayNavName"""":""""MRI \/ PET \/ Ultrasound"""",""""url"""":""""mri-pet""""},{""""displayNavName"""":""""Huntingtons Disease"""",""""url"""":""""huntingtons_disease""""},{""""displayNavName"""":""""Medical Devices \/ Diagnostics"""",""""url"""":""""medical_devices""""},{""""displayNavName"""":""""Smoking \/ Quit Smoking"""",""""url"""":""""smoking""""},{""""displayNavName"""":""""Transplants \/ Organ Donations"""",""""url"""":""""transplants""""},{""""displayNavName"""":""""Sleep \/ Sleep Disorders"""",""""url"""":""""sleep""""},{""""displayNavName"""":""""IT \/ Internet \/ E-mail"""",""""url"""":""""it""""},{""""displayNavName"""":""""Dyslexia"""",""""url"""":""""dyslexia""""},{""""displayNavName"""":""""Medicare \/ Medicaid \/ SCHIP"""",""""url"""":""""medicare-medicaid""""},{""""displayNavName"""":""""Epilepsy"""",""""url"""":""""epilepsy""""},{""""displayNavName"""":""""Prostate \/ Prostate Cancer"""",""""url"""":""""prostate""""},{""""displayNavName"""":""""Veterinary"""",""""url"""":""""veterinary""""},{""""displayNavName"""":""""Abortion"""",""""url"""":""""abortion""""},{""""displayNavName"""":""""Health Insurance"""",""""url"""":""""health_insurance""""},{""""displayNavName"""":""""Litigation"""",""""url"""":""""medical_malpractice""""},{""""displayNavName"""":""""Clinical Trials \/ Drug Trials"""",""""url"""":""""clinical_trials""""},{""""displayNavName"""":""""Conferences"""",""""url"""":""""conferences""""},{""""displayNavName"""":""""Compliance"""",""""url"""":""""compliance""""},{""""displayNavName"""":""""Primary Care \/ General Practice"""",""""url"""":""""primary_care""""},{""""displayNavName"""":""""Flu \/ Cold \/ SARS"""",""""url"""":""""flu-sars""""},{""""displayNavName"""":""""Blood \/ Hematology"""",""""url"""":""""blood""""},{""""displayNavName"""":""""Colorectal Cancer"""",""""url"""":""""colorectal_cancer""""},{""""displayNavName"""":""""Acid Reflux \/ GERD"""",""""url"""":""""gerd""""},{""""displayNavName"""":""""Cervical Cancer \/ HPV Vaccine"""",""""url"""":""""cervical_cancer""""},{""""displayNavName"""":""""Eating Disorders"""",""""url"""":""""eatingdisorders""""},{""""displayNavName"""":""""Pharmacy \/ Pharmacist"""",""""url"""":""""pharmacy""""},{""""displayNavName"""":""""Regulatory Affairs"""",""""url"""":""""regulatoryaffairs""""},{""""displayNavName"""":""""Ovarian Cancer"""",""""url"""":""""ovarian_cancer""""},{""""displayNavName"""":""""Menopause"""",""""url"""":""""menopause""""},{""""displayNavName"""":""""Psoriasis"""",""""url"""":""""psoriasis""""},{""""displayNavName"""":""""Tuberculosis"""",""""url"""":""""tuberculosis""""},{""""displayNavName"""":""""Back Pain"""",""""url"""":""""back-pain""""},{""""displayNavName"""":""""Heart Disease"""",""""url"""":""""heart-disease""""},{""""displayNavName"""":""""Asbestos \/ Mesothelioma"""",""""url"""":""""asbestos""""},{""""displayNavName"""":""""Lymphology \/ Lymphedema"""",""""url"""":""""lymphology""""},{""""displayNavName"""":""""Veterans \/ Ex-Servicemen"""",""""url"""":""""veterans""""},{""""displayNavName"""":""""Medical Practice Management"""",""""url"""":""""medical_practice""""},{""""displayNavName"""":""""Melanoma \/ Skin Cancer"""",""""url"""":""""melanoma""""},{""""displayNavName"""":""""COPD"""",""""url"""":""""copd""""},{""""displayNavName"""":""""Palliative Care \/ Hospice Care"""",""""url"""":""""palliative_care""""},{""""displayNavName"""":""""Vascular"""",""""url"""":""""vascular""""},{""""displayNavName"""":""""Fibromyalgia"""",""""url"""":""""fibromyalgia""""},{""""displayNavName"""":""""Pancreatic Cancer"""",""""url"""":""""pancreatic-cancer""""},{""""displayNavName"""":""""Preventive Medicine"""",""""url"""":""""preventive-medicine""""},{""""displayNavName"""":""""Swine Flu"""",""""url"""":""""swine-flu""""},{""""displayNavName"""":""""Restless Legs Syndrome"""",""""url"""":""""restless-legs""""},{""""displayNavName"""":""""Food Intolerance"""",""""url"""":""""food-intolerance""""},{""""displayNavName"""":""""Personal Monitoring"""",""""url"""":""""personal-monitoring""""},{""""displayNavName"""":""""Surgery"""",""""url"""":""""surgery""""},{""""displayNavName"""":""""Emergency Medicine"""",""""url"""":""""emergency-medicine""""},{""""displayNavName"""":""""Pulmonary System"""",""""url"""":""""pulmonary-system""""},{""""displayNavName"""":""""Medical Innovation"""",""""url"""":""""medical-innovation""""},{""""displayNavName"""":""""Ebola"""",""""url"""":""""ebola""""},{""""displayNavName"""":""""Ulcerative Colitis"""",""""url"""":""""ulcerative-colitis""""},{""""displayNavName"""":""""Constipation"""",""""url"""":""""constipation""""},{""""displayNavName"""":""""Arrhythmia"""",""""url"""":""""arrhythmia""""},{""""displayNavName"""":""""Osteoporosis"""",""""url"""":""""osteoporosis""""},{""""displayNavName"""":""""Diabetes Type 1"""",""""url"""":""""diabetes-type-1""""},{""""displayNavName"""":""""Diabetes Type 2"""",""""url"""":""""diabetes-type-2""""},{""""displayNavName"""":""""Dry Eye"""",""""url"""":""""dry-eye""""},{""""displayNavName"""":""""Endometriosis"""",""""url"""":""""endometriosis""""},{""""displayNavName"""":""""Psoriatic Arthritis"""",""""url"""":""""psoriatic-arthritis""""},{""""displayNavName"""":""""Hypothyroid"""",""""url"""":""""hypothyroid""""},{""""displayNavName"""":""""Shingles"""",""""url"""":""""shingles""""},{""""displayNavName"""":""""Premature Ejaculation"""",""""url"""":""""premature-ejaculation""""},{""""displayNavName"""":""""Asthma"""",""""url"""":""""asthma""""},{""""displayNavName"""":""""VTE"""",""""url"""":""""vte""""},{""""displayNavName"""":""""Seasonal Allergy"""",""""url"""":""""seasonal-allergy""""},{""""displayNavName"""":""""Food Allergy"""",""""url"""":""""food-allergy""""},{""""displayNavName"""":""""OAB"""",""""url"""":""""oab""""},{""""displayNavName"""":""""Urinary Tract Infection"""",""""url"""":""""urinary-tract-infection""""},{""""displayNavName"""":""""Leukemia"""",""""url"""":""""leukemia""""},{""""displayNavName"""":""""Osteoarthritis"""",""""url"""":""""osteoarthritis""""},{""""displayNavName"""":""""Rheumatoid Arthritis"""",""""url"""":""""rheumatoid-arthritis""""},{""""displayNavName"""":""""Birth Control"""",""""url"""":""""birth-control-contraception""""},{""""displayNavName"""":""""Head and Neck Cancer"""",""""url"""":""""head-and-neck-cancer""""},{""""displayNavName"""":""""Atopic Dermatitis"""",""""url"""":""""atopic-dermatitis-eczema""""},{""""displayNavName"""":""""Bites and Stings"""",""""url"""":""""bites-stings""""}];var glob_testServer = 0;var resetpw = 0;var glob_newSkin = 1;var glob_menu_prefix = 'New Header';var glob_deviceInfo = 'Desktop';var glob_newRegistration = 1;var glob_triggerSurvey = 0;var glob_pageType = 'article';var glob_siteRevision = 7721;var showNewsletterPopup = 1;var showFocusGroupPopup = 0;fireOrSaveJsFunctions(1,function(){var tempAacctTid =setInterval(function() {if(typeof _qevents !== """"undefined""""){//wait until _qevents had been set_qevents"
490,"push( { qacct:""""p-v03RmX3GES6RT""""} );clearInterval(tempAacctTid);}}, 500);});fireOrSaveJsFunctions(1,function(){twttr"
491,conversion
492,"trackPid('l4bfr');});fireOrSaveJsFunctions(1,function(){(function(d, s, id) {  var js, fjs = d"
493,getElementsByTagName(s)[0];  if (d
494,getElementById(id)) return;  js = d
495,createElement(s); js
496,id = id;  js
497,"src = """"//connect"
498,facebook
499,net/en_US/sdk
500,js#xfbml=1&version=v2
501,"3&appId=147184211975697"""";  fjs"
502,parentNode
503,"insertBefore(js, fjs);}(document, 'script', 'facebook-jssdk'));});glob_categoryID=""""50"""";glob_categoryName=""""Alcohol / Addiction / Illegal Drugs category"""";fireOrSaveJsFunctions(1,function(){loadScript(""""//z-na"
504,amazon-adsystem
505,"com/widgets/onejs?MarketPlace=US&adInstanceId=c3555b57-ee3e-4ba5-b6f4-ec40911af7e4"""",{},function(){})});// 1"
506,create object of scriptvar deferCSS = document
507,createElement('script');deferCSS
508,src = 'https://hello
509,myfonts
510,net/count/333229';deferCSS
511,type = 'text/javascript';deferCSS
512,defer = true;// 2
513,declaire position of var deferCSS_place = document
514,getElementsByTagName('body')[0];// 3
515,insert object before deferCSS_place
516,appendChild(deferCSS); window
517,"bk_async = function() { bk_addPageCtx('categoryMain', 'alcohol');bk_addPageCtx('categorySub', '');bk_addPageCtx('dimension28', 'alcoholuse');bk_addPageCtx('dimension29', 'substanceuse');BKTAG"
518,"doTag(76945, 10);}; (function() { var scripts = document"
519,getElementsByTagName('script')[0]; var s = document
520,createElement('script'); s
521,async = true; s
522,"src = """"https://tags"
523,bkrtx
524,com/js/bk-coretag
525,"js""""; scripts"
526,parentNode
527,"insertBefore(s, scripts); }()); var articleID=""""324552"""";var articleType = """"written"""";var emailID = """"324552"""";var articleURL = """"/articles/324552"
528,"php"""";var threadID = """"0"""";var opinionsOutput = 0;var showAdsOnArticle = 1;var isSponsored = 0;    for(var contentBlocksDoms=document"
529,"querySelectorAll("""""
530,infobox_large
531,"article-tcblocks > li""""),i=0;i div"
532,headline
533,"mobile""""),excerpt=_this"
534,"querySelector(""""a > div >"
535,"excerpt""""),desktopHeadlineHtmlStr=mobileHeadline"
536,outerHTML;desktopHeadlineHtmlStr=desktopHeadlineHtmlStr
537,"replace(/(class=\"""""
538,*?)\s*mobile\s*(
539,"*?\"""")/g,""""$1$2""""),null===_this"
540,"querySelector(""""a > div >"
541,"headline"""")&&excerpt"
542,"insertAdjacentHTML(""""beforebegin"""",desktopHeadlineHtmlStr),_this"
543,"getElementsByTagName(""""a"""")[0]"
544,removeChild(mobileHeadline)}//Remove  class hide in tabbed content to show on desktop/ tabletif(document
545,"getElementsByClassName(""""collapsed__tabs"""")[0]){document"
546,"getElementsByClassName(""""collapsed__tabs"""")[0]"
547,classList
548,remove('hide');}    var articleTOC = document
549,"getElementsByClassName(""""article_toc"""")[0];if(document"
550,body
551,"contains(articleTOC)){// if the page contains article TOC, we do the trickvar articleTOCpreviousElement = articleTOC"
552,previousElementSibling;if(articleTOCpreviousElement){if((articleTOCpreviousElement
553,className
554,"indexOf(""""photobox_header"""") !==-1&&articleTOCpreviousElement"
555,"querySelector(""""em"""") != null)||(articleTOCpreviousElement"
556,className
557,"indexOf(""""photobox_left"""") !==-1&&articleTOCpreviousElement"
558,"querySelector(""""em"""") != null)||(articleTOCpreviousElement"
559,className
560,"indexOf(""""photobox_right"""") !==-1&&articleTOCpreviousElement"
561,"querySelector(""""em"""") != null)){articleTOC"
562,classList
563,"add(""""article_collapsed--top"""");}}}var mntDataLayer = """""""";//Fire in adblock"
564,"js cause that's the last event in the page function setMNTDataLayer(e) {mntDataLayer = {""""article_meta"""":{""""publisher"""":""""Medical News Today"""",""""headline"""":""""Alcohol may be less harmful for people over 50"""",""""description"""":""""A new study investigates the potential protective effects of alcohol at different ages"
565,They find that it is not a level playing field
566,""""",""""url"""":""""\/articles\/324552"
567,"php"""",""""CanonicalURL"""":""""https:\/\/www"
568,medicalnewstoday
569,com\/articles\/324552
570,"php"""",""""datePublished"""":""""2019-02-28"""",""""dateUpdated"""":"""""""",""""dateReviewed"""":"""""""",""""author"""":""""Tim Newman"""",""""coAuthor"""":"""""""",""""reviewer"""":"""""""",""""ratingHCP"""":0,""""ratingPublic"""":0,""""commentCount"""":0,""""shareCountFacebook"""":0,""""shareCountGooglePlus"""":0,""""shareCountLinkedIn"""":0,""""shareCountPinterest"""":0,""""ampURL"""":"""""""",""""ampVersion"""":""""N""""},""""reader"""":{""""loggedIn"""":""""no""""},""""targeting"""":{""""categoryMain"""":""""alcohol"""",""""categorySub"""":[""""""""],""""articleKeywords"""":"""""""",""""articleID"""":""""324552"""",""""articleType"""":""""written"""",""""micrositeID"""":"""""""",""""articleVersion"""":""""v2"""",""""articleAge"""":""""year""""},""""customDimensions"""":{""""siteVersion"""":""""desktop"""",""""webServer"""":-1,""""iosAppTraffic"""":-1,""""viewportWidth"""":0,""""viewportHeight"""":0,""""hidpi"""":0,""""adblockStatus"""":0}}mntDataLayer[""""article_meta""""][""""shareCountFacebook""""]  = facebookCount;mntDataLayer[""""article_meta""""][""""shareCountGooglePlus""""] = googlePlusCount;mntDataLayer[""""article_meta""""][""""shareCountLinkedIn""""]  = linkedinCount;mntDataLayer[""""article_meta""""][""""shareCountPinterest""""] = pinterestCount;mntDataLayer[""""article_meta""""][""""url""""]  = window"
571,location
572,"href;mntDataLayer[""""customDimensions""""][""""adblockStatus""""]  = adBlockValue; mntDataLayer[""""customDimensions""""][""""viewportWidth""""] = Math"
573,max(document
574,documentElement
575,"clientWidth, window"
576,"innerWidth || 0); mntDataLayer[""""customDimensions""""][""""viewportHeight""""] = Math"
577,max(document
578,documentElement
579,"clientHeight, window"
580,"innerHeight || 0); mntDataLayer[""""customDimensions""""][""""hidpi""""] = (window"
581,devicePixelRatio >= 1
582,"5) ? """"HiDPI"""" : """"1X"""";}"""
583,"""For full functionality, it is necessary to enable JavaScript"
584,Here are instructions how to enable JavaScript in your web browser
585,"Welcome to Medical News TodayHealthline Media, Inc"
586,would like to process and share personal data (e
587,g
588,", mobile ad id) and data about your use of our site (e"
589,g
590,", content interests) with our third party partners (see a current list) using cookies and similar automatic collection tools in order to a) personalize content and/or offers on our site or other sites, b) communicate with you upon request, and/or c) for additional reasons upon notice and, when applicable, with your consent"
591,"Healthline Media, Inc"
592,is based in and operates this site from the United States
593,"Any data you provide will be primarily stored and processed in the United States, pursuant to the laws of the United States, which may provide lesser privacy protections than European Economic Area countries"
594,"By clicking “accept” below, you acknowledge and grant your consent for these activities unless and until you withdraw your consent using our rights request form"
595,Learn more in our Privacy Policy
596,"Top categoriesBlood / HematologyBones / OrthopedicsBreast CancerColorectal CancerDepressionGastroIntestinalHypertensionLymphomaMen's HealthNeurology / NeuroscienceNutrition / DietPain / AnestheticsProstate / Prostate CancerPsoriasisRespiratorySexual Health / STDsStrokeTuberculosisUrology / NephrologyWomen's HealthAll categoriesA - BC - DE - GH - LM - OP - RS - ZAll TopicsMoreSign up for our newsletterDiscover in-depth, condition specific articles written by our in-house team"
597,"NewsletterMNT - Hourly Medical News Since 2003SearchGoTop categoriesBlood / HematologyBones / OrthopedicsBreast CancerColorectal CancerDepressionGastroIntestinalHypertensionLymphomaMen's HealthNeurology / NeuroscienceNutrition / DietPain / AnestheticsProstate / Prostate CancerPsoriasisRespiratorySexual Health / STDsStrokeTuberculosisUrology / NephrologyWomen's HealthAll categoriesA - BC - DE - GH - LM - OP - RS - ZAll TopicsMoreSign up for our newsletterDiscover in-depth, condition specific articles written by our in-house team"
598,NewsletterMNT - Hourly Medical News Since 2003SearchGo Loading
599,"Please accept our privacy termsWe use cookies and similar technologies to improve your browsing experience, personalize content and offers, show targeted ads, analyze traffic, and better understand you"
600,We may share your information with third-party partners for marketing purposes
601,"To learn more and make choices about data use, visit our Advertising Policy and Privacy Policy"
602,"By clicking “Accept and Continue” below, (1) you consent to these activities unless and until you withdraw your consent using our rights request form, and (2) you consent to allow your data to be transferred, processed, and stored in the United States"
603,ACCEPT AND CONTINUE TO SITEDeny permissionScroll to AcceptGet the MNT newsletterEnter your email address to subscribe to our most top categoriesYour privacy is important to us
604,FINISHOK--> googleAdSlotInfo
605,"push({""""slotName"""":'DLB1',""""slotContainer"""":'dlb1_container'});This sleep disorder puts people at 'very high risk' of Parkinson's  PublishedWednesday  6 March 2019PublishedWed  6 Mar 2019By Maria Cohut Fact checked by Isabel Godfrey Research has linked a particular sleep disorder called rapid eye movement (REM) sleep behavior disorder with a diagnosis of Parkinson's disease"
606,"What characterizes this sleep problem, and can its presence be a good way to predict Parkinson's risk?People who experience a sleep disorder that causes them to act out their dreams have a high risk of developing Parkinson's disease"
607,"Data from the National Institutes of Health (NIH) indicate that every year, approximately 50,000 people in the United States learn that they have Parkinson's disease, a neurological condition that affects a person's motor function and exposes them to other neurodegenerative problems, such as Alzheimer's disease"
608,"Researchers still do not fully understand exactly what causes Parkinson's disease, but they have identified a few risk factors that can predispose a person to develop this condition"
609,These include a person's age and sex as well as some genetic factors
610,"Still, it remains a challenge to establish early on who is likely to develop Parkinson's disease at some point in their life"
611,"However, a team of researchers from McGill University in Montreal, Canada decided to see if one particular factor — a sleep disorder called REM sleep behavior disorder (RBD) — could be a good predictor of risk"
612,"This sleep problem is called RBD because it occurs during the REM phase of sleep, in which a person's body becomes effectively paralyzed"
613,This inability to move prevents the person from physically acting out any dream that they may be experiencing and thus stops them from potentially harming themselves or others
614,"People with RBD do not have this paralysis, which means that they end up acting out their dreams without any notion that they are doing so"
615,"Research has shown that many people with RBD go on to develop Parkinson's disease, so the McGill University team decided to find out whether an RBD diagnosis could accurately predict Parkinson's risk"
616,As lead author Dr
617,"Ron Postuma and colleagues explain, establishing that this sleep disorder is a good predictor of Parkinson's could, in the future, allow specialists to identify at-risk people and offer them experimental therapies that could delay or prevent the onset of this neurological condition"
618,googleAdSlotInfo
619,"push({""""slotName"""":'DLB2',""""slotContainer"""":'dlb2_container'});Sleep disorder predicts riskTo establish the strength of the connection between the two conditions, the researchers — whose recent findings appear in Brain: A Journal of Neurology — worked with 1,280 people with REM sleep behavior disorder across 24 centers of the International RBD Study Group"
620,"The researchers assessed the participants' motor function, cognitive abilities, and sensory abilities for a number of years"
621,"After a 12-year follow-up period, they found that 73"
622,5 percent of the people involved in this study had developed Parkinson's disease
623,"Moreover, participants who had started experiencing motor function issues in this period had a threefold increase in the risk of developing Parkinson's disease or related conditions, such as dementia with Lewy bodies"
624,Why does restless sleep predict Parkinson's disease?Learn about the mechanisms that tie sleep disorder to Parkinson's disease
625,Read nowAlso at high risk were participants who had developed cognitive impairment or started experiencing problems with their sense of smell
626,"These findings confirm that the presence of RBD is, indeed, a strong predictor of Parkinson's disease"
627,"All the more so, since the researchers conducted the study in centers across North America, Europe, and Asia, which means that the results apply to diverse populations"
628,googleAdSlotInfo
